,Filename,Proficiency,Age,L1,Age_Exposure,Years_Study,Text
12,DE_SP_B2_20_12_14_EB,B2 (upper intermediate),20,German,8,12.0,uh in the clip Charlie Chaplin walks down a dirty road where lots of rubble falls down also hits him uh he’s quite angry about the situation in the street uh lits a cigarette to calm himself down probably afterwards he finds a baby covered in blankets in a corner he picks the baby up uh / thinks about what to do with the baby and where the baby belongs to when a woman crossed his road and he recognises the woman and sees her she’s also carrying another baby and she thinks that he thinks that the baby g= belongs to the woman so he places the baby he found  next to her baby when the woman recognizes this she gets angry about Charlie Chaplin and / also hits him and shouts at him probably so he takes the baby and runs away / then he tries to put the baby back into the corner where he found it but a police officer watches him so he runs away from the officer with the baby / then he crosses or meets an old man and he gives the baby to the man and / pretends to tie his shoes when the man holds the baby he just gets up and run away and hhh the old man whose got the baby now also runs away with the baby and tries to follow Charlie Chaplin who hides in a house then the old man also sees the woman with the other baby and puts the f= baby who was found in the corner next to the baby of the woman uh and runs away again then Charlie Chaplin meets the woman another time who sees the baby in her next to her baby and gets angry another time and hits Charlie Chaplin another time who takes the baby again and runs away with the baby / uh / then he sits down on a / s= on the side of the street and thinks about what to do with the baby right now whether he should place it just next to the street then he finds a small piece of paper inside the blankets of the baby which says that this baby is an orphan and needs someone to care about uh care take care of the baby ‘n’ then he just takes the baby smiles and goes away with the baby in his arm
13,DE_SP_B2_18_16_14_LN,B2 (upper intermediate),18,German,3,16.0,okay so the uh man in the clip uh was on a walk when he found uh the baby and uh he didn’t know where the baby uh came from so he uh searched for the parents of the baby and he put the baby to uh uh woman uh because he thought the woman left her baby in uh behind the trash and uh the woman uh was angry because it was not her baby so he searched again uh for the own= uh the parents of the baby and uh he did not find the parents and left the baby again where the trash was and uh a police officer came and uh thought he left the baby there so he took the baby again and uh walked around to look for the parents  and then he just uh unwanted to get rid of the baby and uh gave the baby to a man / which put the baby again to the woman I think and uh / after a long time he uh / got the baby again and uh / he / didn’t know what to do because uh he could not find the parents and uh at the end he found a letter of the real parents which uh / said that the new uh / so-called parents should take care of the baby and uh after he wanted to get rid of the baby he just decided to take the baby with him and left.
14,DE_SP_B2_19_11_13_KS,B2 (upper intermediate),19,German,8,11.0,One day a little boy and his dog found a frog / but over night the frog escaped and the boy and the dog went looking for him in the forest / they climbed up trees and rocks but then a deer came and throw the dog and the boy into a river / but lucky for the boy and the dog they found their new friend the frog near the river and saw that / the frog / went back to his family / so the boy and the fro= uh the dog uh / said good-by / to the frog family and left.
15,DE_SP_B2_20_12_13_LH,B2 (upper intermediate),20,German,8,12.0,One day there was a boy who really loved animals / he had a bird he had a dog he had a frog as well / especially the dog was his best friend because / hhh /xxx the dog lives with him the longest time / and then one night when both the dog and the boy were asleep the frog escaped / and the next morning the boy and the dog were shocked /. and xxx the boy was / very sad and he really wanted to to search for the frog / for the frog in order to bring him back home / and then therefore both the dog and the boy went to the forest hhh in order to look for the frog / they started by crying out for him and then / when there was no  ansh= answer by the frog they went into the forest / and hhh yeah the boy climbed on each tree and uh was looking uh after the frog in each coin he could imagine as well as uh / the dog who really helped im him / and they often met uh other animals however they couldn't help them uhm / when shouting out for the frog there was an elk who attacked the boy and the dog hhh and as a result they fell into water / uh however they didn't stop to / to uh yeah to look for the frog and they continued searchi= their search / and uh / yeah hhh after several hours they found a whole family of frogs and one of them was uh the frog of the boy and uh / well he was so happy to see him again and uh finally he's taken the frog in order to bring him back home.
16,DE_SP_B2_21_8_13_LS,B2 (upper intermediate),21,German,13,8.0,Ok one day a little boy about / ten years maybe was sitting in his room with his pet dog and little frog which he was holding in a glass / and at night when he- the boy slept the frog went out of the glass and / when the boy woke up in the next morning the frog was away / he and his dog wondered where the frog was / going so they went outside and / yeah they yelled for the frog and were looking for him / on their search they climbed on trees and found even other animals like bees / and / an owl and a bigger animal hhh this big animal / yeah kind of kicked him from a rock and he fell in the water / with the dog in the water they found a frog family hhh two bigger frogs and some smaller frogs and / yeah they took one of them away / I think / that's the end hhh.
17,DE_SP_B2_22_15_14_LSO,B2 (upper intermediate),22,German,7,15.0,it is a black ‘n’ white movie from Charlie Chaplin called The Kid and it it starts where Charlie Chaplin is walking down / a dirty street and uh he gets get hits by uh / tra= uh / cabbage thrown out of the window and / he was smoking before / and / uh he lost his / cigarette so he stops and hi= lits up a new cigarette / hhh uh / but then he sees a little baby all / by his own only / wrapped in blankets / he takes the baby and is wondering what to do with the baby so he sees a mother walking by / and / he drops it off in the / baby car of the mother / but / the mother turns around and / gets angry because / she looks like it it’s not her baby and she says okay you / forgot something so he has / to take the baby with him and wants to place it back but a / policeman comes back by / hhh comes back and / uh / so Charlie Chaplin feels he can’t drop the baby ‘n’ takes it with him hhh / and / a ol= man is walking by so / he ask him to hold the baby for a minute / to / close the shoe but and then starts running away / so he got rid of the baby / but the old man is placing the baby back in the car of the mother from before / hhh and uh / the mother gets really angry / again because it’s not her baby / and see / see she sees Charlie Chaplin / and / thinks that he dropped again the baby in her baby car / hhh and / uh so Charlie Chaplin has to take the baby back and / uh / then / he uh / finds a paper / that uh / if someone finds the baby / he should care ‘n’ love the baby / and / he can= let the baby all on his own on the street so he takes the baby ‘n’ looks like he wants / to care for the baby
18,DE_SP_B2_23_12_13_AM,B2 (upper intermediate),23,German,9,12.0,So one day a little boy and= got a little frog for this birthday and he was very happy about it and uh watched him with his little dog then in the night he went to bed and sleep and slept and uh the little frog escaped out of the bowl in the morning uh when the boy woke up he uh discovered that the frog has escaped and was very shocked he searched all over uh for his little frog uh he climbed up the trees he climbed up big rocks and uh / shouted for his little frog also his dog helped him to find him but they couldn't find him at all / suddenly a big reindeer jumped out of the trees and scared the little boy he fall down uh a little hill and landed in a pond his dog as well and he swam to the / land and got out of hhh the pond and searched for his frog and continud to search for his frog uh behind a fallen tree he found the big frog family and also his little frog was there he / went back to his family and then the boy left him with his family and went back home.
19,DE_SP_B2_27_16_13_KK,B2 (upper intermediate),27,German,10,16.0,Uh one day the little boy named Max found a little frog in the wood in the evening he showed the frog to his dog uh they watched the frog in a in a jar in a glass and he was so happy to have a new little friend / at night time he was going to bed and took his dog with him / uhm the little frog climbed out of the / glass but little Max didn't notice that because he was asleep / in the morning he woke up and he was very surprised when the frog wasn't in his glass anymore / he looked everywhere in his room / he even went outside he was yelling and screaming / he wanted to find the little frog he took his dog with him / he even climbed into the trees and looked everywhere he climbed on the rocks he was yelling again and screaming but he couldn't find him / then he climbed up / on a little deer he was really surprised so he / the deer hhh uh / uh wasn't so amused about that uh / the little boy and his dog fell into a / little pond / uh they climbed out / and they climbed over a tree that was laying next to the pond / but when they climbed over the tree they found a family / with uh other frogs little frogs and Mum and Dad frog / so he was very happy to find that he found the new friends so he could come back every / time he wanted to.
20,DE_SP_B2_20_10_13_MG,B2 (upper intermediate),20,German,8,10.0,Uh so first of all in the first picture you can see uh a little boy who sits next to his bed and in front of him there is a glass with a frog inside and he also has a little a little dog who also looks at the frog / and in the middle of the night uh at while the boy sleeps the frog climbs out of the glass / and uh in the next morning the boy realizes that the frog uh uh has disappeared uh and in order to to find the frog he goes into the forest and searches for the frog with his dog / uh in order to find the frog he climbs for example on / on a tree uh he climbs on a on a on a big rock / and / while he climbs onto the rock there is a deer behind the rock and the boy uh sort of uh falls onto the deer and lays on his head and / uhm / the deer doesn't seems to to to see anything anymore and therefore the deer wr= the deer rans around with the boy on his head and the boy and the dog uh fall into sort of a lake / uh / yeah / uh afterwards the boy tries to climb out of the lake with the dog and uh while he is uh climbing out of the lake he uh sees the / the frog again with his family and / yeah with a lot of a lot of little frogs and he realizes that the frog has a family and that he wants to stay with his family instead of being kept in in the glass / and the boy and the dog therefore uh go back home and leave the / frog family / yeah in the forest / yes.
21,DE_SP_B2_21_11_13_JS,B2 (upper intermediate),21,German,9,11.0,One day a boy and his dog sitting in its room at in the evening uh they have a jar with the frog in it and xxx them andd they observe him uh then the boy and the dog uh go to bed and sleep and the frog climbs out of the glass and disappears and the next morning the dog and the boy wake up uh and look after the frog but it's gone and uh then they go outside and try to find the frog and they go into a forest and look everywhere to find the frog again uh and the boy even climbs on rocks on or trees in order to find the frog and he is yelling uh after the frog / uh then they are surprised by a stag / uh / which the boy didn't see  in the woods uh and he kind of climbs onto the stag but the stag uhm / is surprised as well and throws the boy and the dog uh into an xxx basically and the boy and the dog fall into / into a lake into a small lake and when they climb out the dog and the boy they find the frog again and find out that the uh the frog again and then they find out that the frog has a family / and so the boy and the dog returned home but they leave the frog with his family in the forest.
22,DE_SP_B2_23_14_14_GZ,B2 (upper intermediate),23,German,9,14.0,okay so uh he walks down the street as someone is emptying his or her trash out of the window and he got almost hit by the trash that’s why he stopped and uh as soon as he stopped uh he saw a baby lying on the street which he / uh yeah took in a way and he uh as soon as he took it he tries to get rid of it ‘cos he obviously doesn’t know what to do with the baby so uh he meets a woman with uh who is uh yeah  going down the street with her own child and he tries to put it in her stroller I think ‘n’ then uh she gets mad ‘cos she obviously doesn’t want to take care of two children ‘n’ she doesn’t know what to do with this / yeah / uh with this child so uh yeah then he uh takes it out out of the stroller again and uh he keeps walking down the street and keeps trying to find oh no before that he uh is trying to lay the baby back on the ground but then the police officer also uh comes and uh yeah I guess pretty mad ‘cos he obviously thinks that he uh tries to get rid of his own son or daughter uh in the middle of the street and uh so uh he can’t do that obviously so Chaplin uh carries the baby or keeps on carrying the baby uh and uh yeah he needs to do it again again it doesn’t work out to you know get rid of the baby hhh somehow and uh in the end he is uh sitting on the pavement and uh he’s looking at the baby ‘n’ he’s finding uh this kind of a letter or note saying love ‘n’ love the baby and take care of it something like that and so uh he probably gets emotional and uh walks away with the baby in his arms so I guess he’s trying to keep it and uh love it and take care of it because the parents are not around
23,DE_SP_B2_24_11_13_LT,B2 (upper intermediate),24,German,10,11.0,One day uh at some stage in the evening a little boy and / I think his dog uh were watching a  little frog in a glass / a little bit later when the boy and the dog fell asleep the frog in the glass escaped and ran away / uh yeah the boy and the dog were kind of surprised and not sure where to look for him / they went outside shouting and yelling and try to find / the frog they were looking in a tree and everywhere else in hope in order to find him / they there was no luck and no success in finding him and / a little bit later they got / uh kind of / kicked into a lake or something /  uh so the dog and the boy  / uh yeah I'am not sure I can't / really identify this / picture / xxx after a while they they could escape from the from the lake / and they / found other frogs / they probably kind a help them to get out of the lake / and  at the very end they thanked him / and were leaving.
24,DE_SP_B2_18_8_13_LD,B2 (upper intermediate),18,German,10,8.0,Once upon a time there was a little boy that had two pets a dog and a frog in a glass So one day he went to sleep and the dog / slept on top of them / the frog disappeared uh in the night and the next morning / the / little boy and his dog saw that he disappeared and they were really sad so they started to / search for the frog in a forest they climbed hills and trees and even looked / uh / on top of the trees / as the little boy climbed a hill suddenly / uh a deer appeared and took the boy and the dog on to his back and run away with them he then throw / them into a river / and the little boy and his dog needed to climb out of the river to / and were very wet so when they climbed over a little uh tree / they suddenly saw / a frog with his family and little baby hhh frogs and / they also saw that his frog was with them so he then took his frog back and walked home / and waved / the little family with their two uh frogs and their babies good-by.
25,DE_SP_B2_19_10_14_EA,B2 (upper intermediate),19,German,9,10.0,so in the beginning of the video Charlie Chaplin walks down the street while things get thrown at him from above someone even screams awkward ass he then lights a cigarette and turns around and sees a baby lying in the corner uh he then picks the baby up and walks turns around in that moment he sees a woman with a carrier walker behind him the woman goes into the building and leaves the carrier outside so Charlie decides to put the baby in it as the woman’s com= as the woman comes out she says to him pardon mister you drop something and puts the baby in the carrier but the woman seems furious and makes clear that the baby isn’t hers so Charlie takes out the baby again and then walks back to the corner where he picked up the baby he l=lays the  baby down and gets up and turns around while he sees a policeman standing behind himthe policeman looks stri=strictly at him so Charlie turns around and picks the baby up again he then starts walking around and turns a corner when he sees a man he goes up to the man and acts like his sho=shoe’s undone so he asked of them to hold the baby and he acts like he wants to tie his shoes again but he actually runs away away so the man is left with the baby the baby uh the man then walks down the street again and sees the carrier with a baby in it so he decides to put the child in the carrier  he then walks away in the same moment Charlie walks down the street and the woman comes out which happens to be the woman from before he se= she sees Charlie and runs after him she beats him and is very angry with him uh and pulls him back to the carrier and tells him to take the baby again Charlie is again for=forced to do so because the policeman th= the same policeman came up to him again so Charlie takes  the baby and walks down the street and sits by the street and thinks about putting the baby in the drain but he doesn’t do so so he looks at the baby and then cuts his finger so he finds / a paper / which was hidden in the banklet of the baby and this on this paper is written please take care of this orphan child so Charlie then decides to keep the baby
26,DE_SP_B2_19_10_14_LG,B2 (upper intermediate),19,German,9,10.0,Hello uh I watched the movie or the short film about Charlie Chaplin and I saw first Charlie Chaplin with his signature look and his shoes and his uh walking stick walking along the street and he uh he was hit by trash thrown through the window but I as a viewer I couldn’t identify who throw this trash and then he is a bit or his uh gesture and his face looks a bit uh yeah annoyed or he is yeah he’s a bit aggressive about this experience and then he lits or he tries to lit a cigarette or yeah a cigarette and uh suddenly he see or he saw uh a baby lying on the street in a corner and uh he looks around and no one is is there and he he takes the baby and uh is still searching for his or her mother probably and I as a viewer I saw a woman walking behind Charlie Chaplin with another baby in a in a / not a wheel chair but uh yeah and she enters uh a shop or a house and Charlie Chaplin turns around and he takes the the probably orphan baby orphan child and puts it to the other baby from the woman and he se= seems to look or he looks really happy about it because he found his or her mother but the woman comes out of the shop and she’s really annoyed and aggressive that Charlie Chaplin uh gave her uh yeah unknown child and he returns or he uh she gives the child back to Charlie Chaplin and he’s confused and uh yeah walks back to the place to the corner where he found the child and he uh wants to hhh uh put it back hhh on the ground but uh a police officer comes across and uh Charlie Chaplin uh stops his action and he yeah tries to walk away and uh hhh doesn’t co= get in a conflict with the police officer after that another person uh enters the story for me was like an old man who walked really slow and Charlie Chaplin like uh / yeah he tries to maybe close his shoes or something like that and / for me it looked like he asked the man could you hold the baby for a second or something but there was no language and the old man takes the baby and Charlie Chaplin runs away hhh and the old man walks really fast so he couldn’t reach Charlie Chaplin or can keep return the baby to him hhh so he walks through the streets of this maybe small city or yeah and he comes across the first baby from the woman in uh in the wagon uh and the old man puts the baby in the wagon because he thinks this baby belongs to the other baby maybe they are siblings or something like that and uh / a minute or a second later Charlie Chaplin or a lot of other people walk across these two babies uh and Charlie Chaplin walks uh by and the woman comes out of the house again or yeah returns to h=her chil her child and the other child and then she h=hits uh hit Charlie Chaplin because she was  so frustrated about Charlie Chaplin because he out of her perspective he tried to return the baby to her twice but she knows it’s not her baby and she thinks it’s his probably so Charlie Chaplin ends with the baby in his arms and he walks like down the streets and uh he sat down and then he found or yeah he looked maybe for but he found a little sheet of paper where I couldn’t read properly but uh there was written like uh please love ‘n’ care for an orphan orphan child so uh in the end he keeps the baby and the last scene is that he walks away with the baby in his arm.
27,DE_SP_B2_20_12_13_VK,B2 (upper intermediate),20,German,8,12.0,Uh one day a little boy and his dog were watching the boy's frog uh which was sitting in a little glass or a jar / uh then during the night the djog= the do= the frog jumps out of the jar and the next morning the dog and the boy uh see that the jar is empty and uh search for the frog they are going into a wood and uh both are looking for the frog the dog is looking / near a tree and the boy is looking inside a tree he then he then goes on a rock and leans on a tree to uh shout for the frog but the tree is not really a tree but a deer then there which then pushes the dog and the boy off a / cliff hhh both of them land in a lake and when getting out of the lake they see the frog having a family with many children and a wife they are happy to see the frog and the boy takes the little frog with him and waves back at the family who watches him leave.
28,DE_SP_B2_20_8_13_JA,B2 (upper intermediate),20,German,13,8.0,One day a little boy and his dog found a frog / the boy and the dog decided to put the frog in a jar to make it his / second / pet but when the night came the frog stepped out of the jar and went out the house when the boy and the dog woke up / they realized that th= the frog was gone / decided to / look for the dog in the woods / when th= the boy and the the little dog went out in the woods / they / went everywhere to look for the frog but couldn't find it / they stepped on / rocks climbed on trees even got to know different animals in the forest but / they couldn't find the frog anywhere /when the boy decided to climb on a deer's back the deer pushed him off a little edge where the boy dropped into a / puddle the boy and the frog hhh the boy and the dog even / in the puddle couldn't find the frog but / oh Jesus Christ hhh but hhh when they climbed up a little bark / he found the do= the frog and his new family behind all xxx can we do it again
29,DE_SP_B2_21_12_13_VR,B2 (upper intermediate),21,German,8,12.0,One day the boy John with his dog Nemo were sitting in this their room at night and were looking at the frog which they had found the day before / then they went to bed and as they were sleeping the frog went out of his glass and run away / in the morning both were very surprised that the frog was gone so they started looking for him they looked everywhere in a tree behind a tree everywhere they could imagine him / then the boy decided to uh climb on a rock at the top of the rock he was holding a stick or something / and suddenly he realized the stick wasn't a stick it was actually a deer and the deer took him and his dog and threw them into a river / as they got out of the river they climbed over a fallen tree and behind the tree they suddenly saw the frog with his family / as they realized how happy the frog was with his family they went away and went home very relieved.
30,DE_SP_B2_22_11_13_JM,B2 (upper intermediate),22,German,10,11.0,One day Timmy found a jar in his room with a frog in it / he and his dog found it very interesting when he f=when he f= when it was finally night he fell asleep dreaming about the frog and all the adventures they had ahead of them but the next morning when he woke up the jar was empty and the frog was gone / his dog as= and him they went together in an adventure to find him he was calling everywhere for the frog / he he was next to was looking for the frog in the woods and he climbed on trees and on rocks and tried everywhere to find the frog h= but he couldn't really find him / all of the sudden while he was climbing on something it started moving / what Ti= Timmy didn't know was that he was actually climbing on an animal and fell into a lake / in that lake he could he was able to swim out of it and found a nice little stump climbing over this stump of  tree behind it he found a frog and his family now he found his whole frog family friends and he had / an adventurous / day.
31,DE_SP_B2_24_17_13_RS,B2 (upper intermediate),24,German,6,17.0,So a story starts uh in a room during the night where uh a little boy uh looks after his frog with his dog and uh he seems to be really happy about it and uh goes to bed and uh in the night the frog jumps out of the glass he used to be in and uh disappears in the morning the little boy notices that the frog is gone and he starts looking for for the frog everywhere so in a forest and the dogs comes along and uh he looks in the trees and uh / climbs on high stones and is yelling for his frog and suddenly he is hooked up by / a reindeer and uh / that reindeer / uh / takes this little boy and / throws him in the sea or in a lake and the dog is coming hhh with them also I think he is falling in the lake too and uh even though they are totally wet the boy and the dog uh keep looking after the frog again and uh are trying to sneak everywhere in in every hole and / then finally uh they find a whole bunch of frogs and uh even though they all look the same for anyone on on the outside the boy finds his frog and uh takes him with him home.
32,DE_SP_B2_25_14_13_GP,B2 (upper intermediate),25,German,10,14.0,Uh the first picture there is a little boy and the boy found a frog and he put the frog in his in a jar and shows it to its dog / and the dog is very interested in the frog / and in the second picture there is uh / its it's now at night and the boy is asleep while the frog is climbing out the jar because there is nothing to cover the jar otherwise the frog probably suffocate if the jar was covered and when the boy awakes in the third picture uh he finds the jar empty the frog has gone / uh in the fourth picture he and his dog they go outside to the woods and look for the frog and call out for it but it uh it doesn't come / and the pic= picture uh the boy is climbing a tree and uh looking in a tree hole it xxx the frog like has climbed up a tree and and / hit in that hole / but uh it's not there and the dog found uh / some bees / and the bees uh seems like they / xxx attack the dog / can't say it for sure / uh the sixth picture uh the boy is climbing on a a rock / and uh on the top of the rock he calls out for the frog probably but uh the frog does not appear / and the seventh picture uh / uh the boy is found by an elk and the elk attacks the boy and uh his dog / and uh pushs them off the hill / into a lake in the eighth picture where they land in the water / uh but the water is uh by shallows so they uh they didn't drown / uh the tenth picture uh / they are now uh finding a broken tree and the boy and the dog lay over the tree and there they find uh the frog in the eleventh picture / and they now realize that the frog is the father of a frog family and he want to return home to his xxx to his wife his frog wife and his children / uhm in the twelfth the last picture uh the boy now realizes he can't separate the frog father from his family and he says good by to the frog family and returns home with his dog.
